SPK_SPKC07a (inhi),SPK_SPKC10a (no opto-tagging),SPK_SPKC16a (no clear)
522.2789,582.915875,
522.288075,583.042475,
522.29845,583.117325,
522.30775,583.210525,
522.327775,583.33665,
522.335725,583.363075,
522.345075,583.427075,
522.357125,583.553925,
522.36445,583.56915,
522.39065,583.6445,
522.400925,583.6717,
522.435575,583.6891,
522.461425,583.836175,
522.48175,583.978275,
522.5386,584.046325,
522.560625,584.102625,
522.572775,584.14095,
522.591275,584.148075,
522.604025,584.197075,
522.611575,584.198875,
522.65455,584.25165,
522.669,584.30665,
522.70525,584.57425,
522.740825,584.727225,
522.7562,584.76945,
522.785475,584.7807,
522.808,584.94965,
522.831525,585.0294,
522.85135,585.115,
522.8738,585.1351,
522.885875,585.26495,
522.90095,585.2741,
522.920025,585.304925,
522.931025,585.370625,
522.94995,585.4181,
522.9622,585.51175,
522.972775,585.6185,
522.985025,585.6684,
522.999075,585.696875,
523.01145,585.731575,
523.0416,585.7519,
523.056525,585.823475,
523.069075,585.9902,
523.08435,586.032225,
523.103425,586.1024,
523.13065,586.23605,
523.141375,586.270925,
523.150225,586.284375,
523.1893,586.3574,
523.199175,586.512475,
523.2098,586.582475,
523.221625,586.59535,
523.232875,586.6421,
523.2556,586.8219,
523.291075,587.036675,
523.328625,587.2026,
523.369575,587.4171,
523.4126,587.477075,
523.436425,587.5806,
523.464,587.735975,
523.4884,587.7538,
523.49375,587.801625,
523.507375,587.833025,
523.51835,587.85695,
523.5319,587.89925,
523.561025,587.923925,
523.571275,588.01235,
523.585325,588.3398,
523.5987,588.365875,
523.63055,588.4093,
523.642625,588.431875,
523.671225,588.47465,
523.693975,588.513225,
523.715225,588.557975,
523.732475,588.703075,
523.7406,588.729675,
523.753,588.856125,
523.76195,588.97365,
523.777125,589.007275,
523.805825,589.106875,
523.8316,589.14305,
523.84915,589.223125,
523.868325,589.256525,
523.8828,589.341725,
523.8969,589.379575,
523.90755,589.390075,
523.93775,589.476125,
523.96495,589.586125,
523.986,589.875325,
524.042375,589.92975,
524.0609,590.0337,
524.079925,590.045575,
524.1057,590.213975,
524.15665,590.224425,
524.2054,590.39065,
524.230325,590.516575,
524.242125,590.6868,
524.250325,590.707275,
524.2857,590.7097,
524.29445,590.80415,
524.304625,590.86595,
524.315225,590.9219,
524.324375,591.11095,
524.335425,591.149625,
524.34975,591.3246,
524.359425,591.475875,
524.37535,591.49825,
524.384675,591.5875,
524.3978,591.604275,
524.41945,591.698525,
524.446375,591.776025,
524.476425,591.790975,
524.514625,591.8717,
524.53895,592.0569,
524.570475,592.092025,
524.583475,592.14595,
524.604875,592.227275,
524.616675,592.2919,
524.62645,592.3515,
524.634775,592.367025,
524.660425,592.414775,
524.6745,592.79375,
524.69105,592.817175,
524.7029,592.9958,
524.7244,593.0636,
524.73755,593.13675,
524.762375,593.347225,
524.78105,593.4783,
524.824675,593.585675,
524.837725,593.769125,
524.8675,593.88225,
524.909425,594.0129,
524.95155,594.027375,
525.01805,594.112825,
525.042875,594.263925,
525.07095,594.286025,
525.089675,594.332375,
525.121475,594.338725,
525.15615,594.430575,
525.17735,594.63775,
525.1994,595.122225,
525.229,595.1345,
525.24835,595.235,
525.2833,595.27705,
525.30125,595.6963,
525.345575,595.7617,
525.405925,595.88455,
525.423075,595.949325,
525.43795,595.984925,
525.4479,596.041675,
525.46035,596.09065,
525.4728,596.108975,
525.48145,596.3385,
525.489625,596.39215,
525.497425,596.46005,
525.510825,596.48135,
525.520775,596.48975,
525.53205,596.5782,
525.54265,596.6821,
525.560475,596.9916,
525.578375,597.004,
525.6153,597.120725,
525.6443,597.160425,
525.6532,597.18605,
525.666475,597.456175,
525.69655,597.546125,
525.72835,597.615125,
525.74225,597.8092,
525.755825,598.077125,
525.76535,598.127575,
525.776575,598.26565,
525.78605,598.343425,
525.794325,598.3535,
525.810725,598.3624,
525.824575,598.466875,
525.8369,598.741775,
525.8453,598.833725,
525.85335,598.8513,
525.863975,599.077775,
525.881125,599.08255,
525.8898,599.2103,
525.89845,599.276825,
