SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC07c,SPK_SPKC13b,SPK_SPKC13c
127.9688,,,,,3701.21735
128.00665,,,,,3701.5339
128.21145,,,,,3701.684125
128.6246,,,,,3701.851625
129.391025,,,,,3702.147425
129.951725,,,,,3702.553775
130.054975,,,,,3703.170875
130.333,,,,,3703.228225
130.59945,,,,,3703.53495
130.7124,,,,,3703.766175
130.945325,,,,,3703.88465
131.401175,,,,,3704.0243
133.8109,,,,,3704.1652
134.098775,,,,,3704.72965
134.1208,,,,,3705.616775
134.347075,,,,,3705.61965
135.0653,,,,,3705.810675
136.065025,,,,,3706.1706
136.5498,,,,,3707.286
136.61635,,,,,3707.52675
136.878925,,,,,3707.6518
136.89945,,,,,3707.859175
136.931475,,,,,3708.016075
137.814175,,,,,3708.21035
138.032875,,,,,3708.519375
138.835075,,,,,3708.646525
139.06285,,,,,3708.71835
141.069625,,,,,3708.907475
142.71435,,,,,3709.140475
144.669725,,,,,3709.194
144.8049,,,,,3709.37635
144.85455,,,,,3709.613875
146.410925,,,,,3710.029925
149.763475,,,,,3710.073175
150.63235,,,,,3710.5758
150.782675,,,,,3710.60385
151.117925,,,,,3710.784925
151.77165,,,,,3711.103125
151.916275,,,,,3712.048325
151.970475,,,,,3712.328675
152.321925,,,,,3712.72565
152.54525,,,,,3713.0976
152.99575,,,,,3713.6969
153.1305,,,,,3713.874525
153.203775,,,,,3714.425975
153.65975,,,,,3714.429075
153.70025,,,,,3714.673025
153.785625,,,,,3715.875175
153.845925,,,,,3716.336225
153.8847,,,,,3716.40245
154.542875,,,,,3716.68445
154.5547,,,,,3716.887125
154.58175,,,,,3717.073
155.409375,,,,,3717.4479
155.602425,,,,,3717.847625
155.678675,,,,,3718.156325
155.8502,,,,,3718.331725
156.60355,,,,,3718.5997
156.8623,,,,,3719.311475
157.13865,,,,,3719.713575
157.290125,,,,,3720.127175
157.402825,,,,,3720.261225
158.56275,,,,,3720.4036
158.725075,,,,,3720.533925
158.727425,,,,,3720.820475
158.8948,,,,,3721.349075
158.95635,,,,,3721.8704
159.398925,,,,,3722.052825
159.5626,,,,,3722.194975
159.78745,,,,,3722.3271
159.833375,,,,,3722.49015
159.94905,,,,,3722.849
160.0134,,,,,3722.9584
160.47975,,,,,3723.461525
160.829,,,,,3723.803025
161.227925,,,,,3724.171325
161.683,,,,,3724.18685
162.417175,,,,,3724.5611
162.660675,,,,,3724.74085
162.841925,,,,,3725.1539
163.15145,,,,,3725.158075
163.347125,,,,,3725.5473
164.0302,,,,,3725.8465
164.136725,,,,,3725.92285
164.245075,,,,,3725.973025
164.473775,,,,,3726.242
165.970525,,,,,3726.266675
166.304225,,,,,3726.563725
166.85875,,,,,3726.905225
167.724075,,,,,3727.141575
168.034825,,,,,3727.512125
168.153925,,,,,3727.65925
169.094475,,,,,3728.125975
170.9296,,,,,3728.3002
170.96365,,,,,3728.517525
170.995925,,,,,3728.70395
171.002775,,,,,3728.81045
171.0336,,,,,3728.93895
171.04355,,,,,3729.06935
171.499775,,,,,3729.266425
173.51315,,,,,3729.659875
174.9042,,,,,3729.76825
176.4756,,,,,3729.953725
177.158675,,,,,3730.11485
177.5655,,,,,3730.265825
180.55375,,,,,3730.58125
180.714175,,,,,3731.1324
180.73875,,,,,3731.82365
181.562675,,,,,3732.06595
182.0632,,,,,3732.58035
182.7846,,,,,3732.86375
182.87495,,,,,3733.648775
182.9094,,,,,3734.47435
183.52475,,,,,3734.71205
184.408775,,,,,3734.9356
184.6439,,,,,3735.057625
185.675025,,,,,3735.060975
185.70995,,,,,3735.350775
186.62325,,,,,3735.513825
186.836025,,,,,3735.5303
188.598625,,,,,3735.773475
189.54765,,,,,3735.955075
190.834475,,,,,3736.143675
191.429075,,,,,3736.314425
191.908775,,,,,3736.6965
191.915075,,,,,3736.759225
192.330875,,,,,3736.8651
192.36425,,,,,3736.93375
192.404725,,,,,3737.1384
194.438625,,,,,3737.266275
194.5697,,,,,3737.35675
194.72265,,,,,3737.568775
195.2119,,,,,3737.629925
195.657275,,,,,3737.98675
195.864475,,,,,3738.182375
196.3052,,,,,3738.48015
196.326175,,,,,3738.96325
196.412725,,,,,3739.1868
196.45685,,,,,3739.300525
196.48555,,,,,3739.496975
196.4997,,,,,3740.099775
196.52285,,,,,3740.429575
196.57015,,,,,3740.586275
196.596825,,,,,3741.816225
196.6095,,,,,3741.945125
196.9956,,,,,3742.020825
197.0566,,,,,3742.113025
197.341725,,,,,3742.263275
197.471625,,,,,3742.27395
197.66105,,,,,3742.48265
197.839125,,,,,3742.639225
198.0065,,,,,3742.816125
198.046725,,,,,3742.966425
198.05015,,,,,3742.9849
198.06775,,,,,3743.269575
198.290625,,,,,3743.4746
