SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC13a,SPK_SPKC13b
503.0081,503.6888,503.759175,,501.796425,664.427775
503.028975,503.7898,503.900575,,501.850825,664.773675
503.081,503.876175,503.965025,,501.881475,664.7876
503.11865,503.949025,503.99185,,501.926825,670.534725
503.120875,503.977175,504.036225,,501.966025,670.938525
503.16625,504.199775,504.130325,,502.05725,671.1668
503.211375,504.24325,504.1964,,502.101325,673.993075
503.2441,504.2926,504.2541,,502.1403,675.781825
503.26975,504.37225,504.3147,,502.188775,678.211375
503.300075,504.4051,504.3406,,502.2025,679.573875
503.37595,504.443275,504.4323,,502.22015,687.533425
503.393425,504.57265,504.528,,502.25395,691.090075
503.4078,504.596675,504.6205,,502.300425,692.48205
503.433375,504.760925,504.6785,,502.36945,693.11415
503.4574,504.80605,504.73125,,502.4025,700.618425
503.469625,504.825325,504.762525,,502.420075,702.8244
503.49955,504.858775,504.821375,,502.45595,703.645
503.526575,504.89175,504.920075,,502.4736,704.2173
503.55295,504.926,504.965975,,502.48135,708.17145
503.6252,504.963625,505.01115,,502.556675,709.044
503.637525,504.991725,505.043425,,502.614625,712.774025
503.68455,505.054925,505.10135,,502.6333,714.261075
503.72805,505.10105,505.14345,,502.637025,714.440975
503.759675,505.13185,505.17835,,502.64885,725.14305
503.7829,505.14015,505.21185,,502.6846,736.6106
503.808175,505.155075,505.33415,,502.74415,740.008575
503.859125,505.1836,505.4128,,502.770875,740.4274
503.881325,505.2857,505.5466,,502.7881,740.89365
503.90965,505.32935,505.59865,,502.8107,744.47285
503.9322,505.3868,505.632075,,502.843425,745.18235
503.98025,505.432375,505.737525,,502.862275,745.346875
503.982375,505.498425,505.81355,,502.883425,745.667975
504.0252,505.542525,505.853225,,502.933625,745.786175
504.15765,505.5731,505.926575,,502.945925,745.931325
504.30355,505.5998,505.95555,,502.954275,752.3516
504.414075,505.6318,506.053025,,502.96535,753.3983
504.42365,505.6836,506.13075,,502.975975,755.106425
504.4685,505.720775,506.168825,,502.997775,756.10385
504.572225,505.7422,506.20145,,503.027925,757.41545
504.624375,505.77165,506.2933,,503.0374,761.469625
504.720275,505.77975,506.334275,,503.057475,773.78695
504.761425,505.79435,506.426675,,503.064075,775.45785
504.823275,505.847675,506.5256,,503.07945,776.5234
504.864875,505.89035,506.6093,,503.0875,795.849325
504.942875,505.941025,506.652275,,503.093625,796.510475
504.971025,505.956925,506.758075,,503.119025,796.61245
505.116725,505.968875,506.8053,,503.150725,797.339225
505.14565,506.1151,506.881175,,503.180275,797.3818
505.16665,506.134275,506.925525,,503.20045,
505.276775,506.28875,506.965,,503.238775,
