SPK_SPKC01a (exc),SPK_SPKC10a (exc),SPK_SPKC16a (exc)
198.409375,204.375425,197.475475
198.4486,204.426425,197.49865
198.493525,204.4617,197.5157
198.5302,204.49965,197.589775
198.5618,204.53255,197.68765
198.607325,204.59075,197.742175
198.6458,204.68045,197.781625
198.69095,204.709925,197.879775
198.752225,204.750875,198.109625
198.7909,204.7747,198.13355
198.823075,204.797875,198.198875
198.8664,204.84175,198.2189
198.910725,204.89195,198.23625
198.957925,204.932675,198.2583
199.0048,204.971625,198.29905
199.062625,205.003,198.320075
199.086625,205.044775,198.344
199.13405,205.078225,198.38675
199.169075,205.1077,198.404425
199.19615,205.1363,198.440025
199.2435,205.213775,198.511525
199.317775,205.239075,198.591125
199.352225,205.268825,198.6285
199.38015,205.29685,198.666175
199.41285,205.371475,198.692375
199.430025,205.434375,198.764375
199.4598,205.44595,198.796575
199.504925,205.477375,198.836025
199.543975,205.52495,198.8755
199.58395,205.547125,198.963525
199.632125,205.561325,199.02985
199.669175,205.57205,199.10835
199.7003,205.644725,199.24425
199.731825,205.67875,199.33585
199.77245,205.707725,199.418875
199.812975,205.750625,199.4632
199.849625,205.7693,199.4846
199.904325,205.787375,199.513775
199.95665,205.80535,199.5255
200.002475,205.839375,199.5699
200.063925,205.86345,199.600625
200.0953,205.965075,199.661975
200.1447,205.978175,199.7419
200.2127,206.00515,199.76065
200.267925,206.04955,199.7821
200.308325,206.063275,199.824425
200.344425,206.081125,199.878775
200.384675,206.1005,199.923575
200.427925,206.137175,199.948775
200.461475,206.165575,200.0744
200.49755,206.19525,200.140025
200.5475,206.214075,200.1773
200.58135,206.23745,200.2216
200.61245,206.25875,200.28645
200.666275,206.3039,200.329525
200.6935,206.361225,200.34985
200.74185,206.37165,200.40105
200.773625,206.399525,200.440925
200.82685,206.423025,200.49465
200.866425,206.454175,200.5262
200.916325,206.477525,200.616175
200.950325,206.501925,200.668725
200.9865,206.52445,200.6804
201.017425,206.5419,200.7258
201.048925,206.582125,200.7539
201.06935,206.61715,200.782975
201.10955,206.695275,200.83235
201.140575,206.7599,200.84535
201.165025,206.7878,200.8817
201.20295,206.82315,200.891575
201.257025,206.885825,201.014925
201.303,206.91775,201.044325
201.3369,206.94485,201.064025
201.37305,206.9704,201.115425
