SPK_SPKC04a,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC11d,SPK_SPKC12a,SPK_SPKC13b,SPK_SPKC14a
228.8724,224.509425,207.37,323.27435,215.7204,234.6823,209.26275
229.00555,224.547525,207.3749,324.3818,215.727025,234.716725,209.279775
229.252625,224.55015,207.395625,324.7638,215.730925,234.88015,209.318
229.422325,224.561675,207.411375,325.067625,215.754525,234.908075,209.391975
229.4714,224.588525,207.42725,325.28415,215.76095,234.951625,209.480075
229.497675,224.718175,207.448425,325.482275,215.772125,235.004725,209.4911
229.627025,224.829775,207.469325,325.80325,215.777375,235.046325,209.50325
229.7316,224.872775,207.48265,326.599425,215.7834,235.051525,209.5445
229.738125,225.0194,207.486275,328.28355,215.79335,235.064725,209.556975
229.743675,225.062775,207.5096,328.352375,215.80545,235.121875,209.57015
230.01855,225.242225,207.5269,328.623725,215.822275,235.153375,209.593
230.0715,225.34065,207.548075,329.53975,215.835425,235.29005,209.6187
230.078025,225.3699,207.561675,329.7922,215.868475,235.399025,209.711625
230.0814,225.43925,207.58155,329.86275,215.942775,235.43985,209.721925
230.09005,225.5208,207.60205,330.007275,215.9581,235.53035,209.753475
230.171875,225.7899,207.6549,330.5726,215.9722,235.636675,209.767225
230.184925,226.492925,207.66175,330.646975,215.994425,235.6679,209.8421
230.3189,226.9102,207.71115,331.1598,216.063075,235.705575,209.855475
230.705475,226.96065,207.736775,331.522675,216.096425,235.738,209.8688
230.78985,226.989875,207.75745,331.9535,216.127675,235.765225,209.881725
230.909775,226.993375,207.77565,332.1534,216.239775,235.83735,209.8902
230.94015,227.057525,207.826,333.925425,216.2691,235.921975,209.954225
231.2698,227.294025,207.831225,333.9761,216.4771,235.986675,210.083725
231.30165,227.66105,207.853875,334.007125,216.717025,235.992375,210.107025
231.305925,227.770175,207.8693,334.24105,216.72825,236.093225,210.119075
231.432975,227.951275,207.915425,334.57485,216.740675,236.140925,210.150425
231.569325,228.087325,207.9423,334.819025,216.762825,236.170975,210.15815
231.58115,228.094425,207.973025,334.9352,216.77645,236.307725,210.165775
231.74115,228.136125,208.0137,335.157775,216.785175,236.41025,210.256275
231.82195,228.148075,208.02165,335.303925,216.804225,236.556325,210.298425
232.0423,228.178325,208.064275,335.54435,216.80695,236.607275,210.3424
232.09535,228.2543,208.0896,335.6994,216.837925,236.675625,210.4509
232.176475,228.2916,208.0931,336.36095,216.97335,236.735,210.462025
232.2639,228.315725,208.122775,336.4718,217.0258,236.84485,210.481175
232.4252,228.332625,208.127425,337.7816,217.03645,236.95365,210.54275
232.498925,228.36895,208.152075,338.204975,217.0593,236.965375,210.55185
232.74135,228.413975,208.2476,338.907275,217.136325,236.994725,210.56715
232.777625,228.469875,208.252625,339.361125,217.161825,237.09475,210.573975
232.928625,228.6739,208.299925,339.601525,217.213875,237.12255,210.662025
232.971425,228.7047,208.3258,339.840425,217.21845,237.183475,210.689975
232.9787,228.73835,208.346525,339.8965,217.233425,237.32705,210.70875
233.225675,228.775225,208.355575,340.596525,217.2649,237.445,210.7423
233.28105,228.860425,208.3743,342.999175,217.332325,237.44635,210.79075
233.3797,228.873625,208.420475,343.146125,217.351475,237.45835,210.807025
233.389525,229.191475,208.537925,343.391775,217.383775,237.476425,210.8902
233.783325,229.50405,208.5407,343.46335,217.4413,237.500075,210.902225
233.7971,229.522875,208.546475,343.792725,217.48435,237.588975,210.963225
233.822175,229.596325,208.562375,344.0734,217.492575,237.603,210.984875
233.828575,229.65785,208.6082,344.6943,217.523975,237.780625,211.057275
233.886325,229.714675,208.63665,344.79015,217.533425,237.89375,211.063125
233.9249,229.7892,208.686725,344.89585,217.668875,237.91775,211.104675
234.01275,229.95405,208.70315,345.69015,217.974125,237.94605,211.114675
234.0668,230.0603,208.723525,345.7026,217.984125,238.0204,211.132475
234.2329,230.1013,208.76405,345.71995,218.010825,238.1791,211.140675
234.319475,230.162075,208.797625,345.8943,218.031325,238.25785,211.161775
234.356575,230.2352,208.829325,346.617525,218.0454,238.277625,211.204625
234.377025,230.249225,208.868925,347.327725,218.08475,238.345575,211.2115
234.43965,230.25295,208.895625,347.428025,218.1253,238.374075,211.218925
234.56245,230.289625,208.920975,347.583025,218.146075,238.423825,211.240025
234.75775,230.320925,208.939525,347.6117,218.24625,238.566225,211.250825
234.8333,230.421925,208.96695,347.80165,218.26765,238.583425,211.427625
235.034575,230.444775,209.000675,348.04255,218.329175,238.64035,211.448375
235.09125,230.490225,209.06455,348.99525,218.3357,238.663025,211.4752
235.159275,230.5196,209.067575,349.120575,218.405125,238.71305,211.490025
235.227825,230.62055,209.099475,349.925875,218.41855,238.749225,211.50205
235.4164,230.65975,209.16745,350.19485,218.42395,238.834275,211.52435
235.4603,230.700125,209.189175,351.0629,218.44625,238.8434,211.5526
235.512525,230.7335,209.1959,351.5726,218.48005,238.947475,211.570275
235.574775,230.766425,209.281525,352.238325,218.490275,239.00325,211.591875
235.5809,230.851425,209.30185,352.34605,218.496375,239.053125,211.599125
235.621125,230.916575,209.321125,352.67845,218.509175,239.10085,211.601675
235.689425,231.185975,209.337525,352.843675,218.5173,239.138375,211.62165
