SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03b,SPK_SPKC07b,SPK_SPKC07c,SPK_SPKC12a,SPK_SPKC14c
124.55275,119.44505,112.4747,133.13585,143.893725,123.945925,109.471275
124.593075,119.457875,112.484625,133.15235,143.91055,123.96345,109.496925
124.62055,119.4865,112.49325,133.2408,143.924525,124.0829,109.5184
124.62375,119.52,112.5243,133.287,143.925975,124.1342,109.525725
124.633475,119.532175,112.534975,133.303125,143.96835,124.442275,109.532725
124.6677,119.54875,112.5496,133.31235,143.983775,124.5067,109.5442
124.7611,119.5621,112.57205,133.51485,144.0235,124.510075,109.5556
124.8005,119.5834,112.582125,133.51965,144.0333,124.529725,109.56485
124.836875,119.638625,112.6036,133.533525,144.043625,124.5937,109.576725
124.902625,119.861575,112.621,133.713175,144.067875,124.6132,109.584975
124.9787,119.8793,112.65145,133.7306,144.080525,124.67445,109.602425
125.11475,119.901225,112.679575,133.759875,144.26235,124.67925,109.6182
125.1462,119.9205,112.707225,133.9139,144.33665,124.808025,109.633675
